iter	Passed	Remaining
821	14738	3191
822	14755	3173
823	14772	3155
824	14788	3136
825	14805	3118
826	14822	3100
827	14840	3082
828	14860	3065
829	14878	3047
830	14897	3029
831	14917	3012
832	14934	2994
833	14954	2976
834	14971	2958
835	14989	2940
836	15005	2922
837	15024	2904
838	15041	2886
839	15057	2868
840	15074	2850
841	15091	2831
842	15106	2813
843	15124	2795
844	15142	2777
845	15162	2759
846	15179	2742
847	15196	2723
848	15215	2706
849	15232	2688
850	15248	2669
851	15266	2651
852	15283	2633
853	15301	2615
854	15319	2598
855	15337	2580
856	15355	2562
857	15373	2544
858	15389	2526
859	15407	2508
860	15425	2490
861	15443	2472
862	15461	2454
863	15479	2436
864	15497	2418
865	15516	2401
866	15536	2383
867	15555	2365
868	15574	2347
869	15593	2330
870	15614	2312
871	15633	2294
872	15652	2277
873	15673	2259
874	15691	2241
875	15710	2223
876	15731	2206
877	15750	2188
878	15769	2170
879	15802	2154
880	15827	2137
881	15844	2119
882	15861	2101
883	15879	2083
884	15898	2065
885	15918	2048
886	15939	2030
887	15959	2012
888	15978	1995
889	15998	1977
890	16017	1959
891	16036	1941
892	16057	1924
893	16076	1906
894	16097	1888
895	16116	1870
896	16136	1852
897	16159	1835
898	16182	1818
899	16202	1800
900	16221	1782
901	16241	1764
902	16260	1746
903	16281	1728
904	16300	1711
905	16321	1693
906	16340	1675
907	16359	1657
908	16381	1639
909	16401	1622
910	16421	1604
911	16439	1586
912	16459	1568
913	16479	1550
914	16496	1532
915	16513	1514
916	16531	1496
917	16552	1478
918	16572	1460
919	16591	1442
920	16610	1424
921	16630	1406
922	16649	1388
923	16669	1371
924	16689	1353
925	16709	1335
926	16728	1317
927	16746	1299
928	16765	1281
929	16784	1263
930	16803	1245
931	16822	1227
932	16840	1209
933	16858	1191
934	16878	1173
935	16896	1155
936	16914	1137
937	16932	1119
938	16949	1101
939	16968	1083
940	16987	1065
941	17006	1047
942	17025	1029
943	17045	1011
944	17067	993
945	17087	975
946	17107	957
947	17130	939
948	17164	922
949	17186	904
950	17205	886
951	17226	868
952	17246	850
953	17266	832
954	17285	814
955	17304	796
956	17323	778
957	17341	760
958	17360	742
959	17379	724
960	17398	706
961	17417	688
962	17436	669
963	17454	651
964	17476	633
965	17495	615
966	17514	597
967	17533	579
968	17552	561
969	17570	543
970	17589	525
971	17609	507
972	17628	489
973	17645	471
974	17662	452
975	17679	434
976	17698	416
977	17716	398
978	17734	380
979	17753	362
980	17773	344
981	17791	326
982	17811	308
983	17828	289
984	17845	271
985	17864	253
986	17882	235
987	17899	217
988	17916	199
989	17934	181
990	17950	163
991	17968	144
992	17985	126
993	18002	108
994	18020	90
995	18037	72
996	18055	54
997	18073	36
998	18091	18
999	18108	0
